Multi-channel IV sweep measurement data file. 
Number of NWFETs measured:  6

Channel settings:
Gate channel(SMU 4): 	Start Voltage:	0.700V	Stop Voltage:	1.400V	Voltage steps:	101
Drain channel(SMU 1): 	0.250V
Source channel(SMU 2): 	0.000V

Measurement comments:




IV data for [NW12], address [112]

#Vg (V)	Id (A)	Is (A)	Ig (A)

0.700000	-3.000000E-11	-2.000000E-11	1.440140E-9
0.707000	-3.000000E-11	-4.000000E-11	7.974700E-10
0.714000	-3.000000E-11	-4.000000E-11	7.384600E-10
0.721000	-5.000000E-11	-5.000000E-11	5.744400E-10
0.728000	-5.000000E-11	-3.000000E-11	4.514700E-10
0.735000	-6.000000E-11	-1.000000E-11	5.444600E-10
0.742000	-3.000000E-11	-3.000000E-11	4.350000E-10
0.749000	-3.000000E-11	-6.000000E-11	3.598200E-10
0.756000	-3.000000E-11	-3.000000E-11	4.616100E-10
0.763000	-4.000000E-11	-4.000000E-11	3.434000E-10
0.770000	-3.000000E-11	-3.000000E-11	3.206200E-10
0.777000	-5.000000E-11	-4.000000E-11	3.826900E-10
0.784000	-3.000000E-11	0.000000	2.983300E-10
0.791000	-4.000000E-11	-6.000000E-11	2.937300E-10
0.798000	-6.000000E-11	-1.000000E-11	2.913100E-10
0.805000	-5.000000E-11	-4.000000E-11	2.038900E-10
0.812000	-3.000000E-11	-4.000000E-11	2.777300E-10
0.819000	-4.000000E-11	-4.000000E-11	2.635600E-10
0.826000	-6.000000E-11	-4.000000E-11	1.863500E-10
0.833000	-8.000000E-11	-6.000000E-11	2.728900E-10
0.840000	-5.000000E-11	-3.000000E-11	2.497000E-10
0.847000	-4.000000E-11	-4.000000E-11	1.803400E-10
0.854000	-4.000000E-11	-3.000000E-11	2.465300E-10
0.861000	-6.000000E-11	-3.000000E-11	2.389800E-10
0.868000	-4.000000E-11	-5.000000E-11	1.578400E-10
0.875000	-4.000000E-11	-6.000000E-11	2.411300E-10
0.882000	-5.000000E-11	-2.000000E-11	2.254600E-10
0.889000	-3.000000E-11	-4.000000E-11	1.533800E-10
0.896000	-5.000000E-11	-6.000000E-11	2.491200E-10
0.903000	-2.000000E-11	-5.000000E-11	2.264900E-10
0.910000	-2.000000E-11	-4.000000E-11	1.523000E-10
0.917000	0.000000	-9.000000E-11	2.268500E-10
0.924000	0.000000	-7.000000E-11	2.203900E-10
0.931000	2.000000E-11	-1.100000E-10	1.408200E-10
0.938000	6.000000E-11	-9.000000E-11	2.318200E-10
0.945000	5.000000E-11	-1.400000E-10	2.107700E-10
0.952000	8.000000E-11	-1.600000E-10	1.425200E-10
0.959000	1.200000E-10	-2.100000E-10	2.420000E-10
0.966000	1.600000E-10	-2.200000E-10	2.090400E-10
0.973000	1.700000E-10	-2.200000E-10	1.466400E-10
0.980000	2.300000E-10	-3.300000E-10	2.874700E-10
0.987000	2.900000E-10	-3.400000E-10	2.058900E-10
0.994000	3.600000E-10	-4.300000E-10	1.577300E-10
1.001000	4.200000E-10	-5.300000E-10	2.909900E-10
1.008000	5.400000E-10	-6.500000E-10	2.010700E-10
1.015000	6.900000E-10	-7.400000E-10	1.757000E-10
1.022000	7.800000E-10	-8.700000E-10	2.869500E-10
1.029000	9.400000E-10	-1.070000E-9	1.991200E-10
1.036000	1.170000E-9	-1.270000E-9	2.052600E-10
1.043000	1.360000E-9	-1.480000E-9	2.062400E-10
1.050000	1.710000E-9	-1.770000E-9	1.388800E-10
1.057000	2.020000E-9	-2.110000E-9	2.315800E-10
1.064000	2.400000E-9	-2.440000E-9	2.044300E-10
1.071000	2.850000E-9	-2.960000E-9	1.410100E-10
1.078000	3.320000E-9	-3.400000E-9	2.853200E-10
1.085000	4.120000E-9	-4.220000E-9	2.031400E-10
1.092000	4.860000E-9	-4.990000E-9	1.580500E-10
1.099000	5.730000E-9	-5.940000E-9	2.957800E-10
1.106000	6.480000E-9	-6.570000E-9	2.067300E-10
1.113000	7.590000E-9	-7.490000E-9	1.809500E-10
1.120000	8.730000E-9	-8.730000E-9	1.526000E-10
1.127000	1.008000E-8	-1.016000E-8	2.862700E-10
1.134000	1.139000E-8	-1.133000E-8	2.090400E-10
1.141000	1.329000E-8	-1.340000E-8	1.650400E-10
1.148000	1.522000E-8	-1.545000E-8	2.971100E-10
1.155000	1.713000E-8	-1.737000E-8	2.064700E-10
1.162000	1.958000E-8	-1.991000E-8	1.922900E-10
1.169000	2.265000E-8	-2.231000E-8	2.940800E-10
1.176000	2.542000E-8	-2.470000E-8	2.151200E-10
1.183000	2.834000E-8	-2.825000E-8	2.253700E-10
1.190000	3.205000E-8	-3.235000E-8	2.247300E-10
1.197000	3.596000E-8	-3.606000E-8	1.498900E-10
1.204000	3.880000E-8	-3.833000E-8	2.345100E-10
