Multi-channel current sampling measurement data file. Number of NWFETs measured:  5

Channel settings:
SMU1 (Id sampling channel): 	Voltage: 0.250V
SMU2 (Is sampling channel): 	Voltage: 0.000V
SMU3 (Vd biasing channel): 	Voltage: 0.250V
SMU4 (gate channel): 	Voltage: 1.150V

Measurement comments:



Time (s) [NW12]	SMU1	SMU2	SMU3	SMU4	Time (s) [NW13]	SMU1	SMU2	SMU3	SMU4	Time (s) [NW14]	SMU1	SMU2	SMU3	SMU4	Time (s) [NW15]	SMU1	SMU2	SMU3	SMU4	Time (s) [NW22]	SMU1	SMU2	SMU3	SMU4	

0.522000	1.419000E-8	-1.424000E-8	0.000000	2.644320E-9	3.591000	1.647900E-8	-1.611150E-8	0.000000	2.024880E-9	5.445000	2.069300E-8	-2.065900E-8	1.500000E-12	1.985725E-9	7.333000	2.002150E-8	-1.992750E-8	5.000000E-13	1.936830E-9	9.196000	2.356450E-8	-2.317000E-8	-5.000000E-13	1.879005E-9
11.090000	1.478150E-8	-1.467750E-8	-5.000000E-13	1.891440E-9	12.963000	1.648300E-8	-1.628800E-8	5.000000E-13	1.929815E-9	14.832000	2.118150E-8	-2.118250E-8	0.000000	1.876275E-9	16.678000	2.045350E-8	-2.017750E-8	-1.000000E-12	1.861035E-9	18.571000	2.385000E-8	-2.353900E-8	1.000000E-12	1.901215E-9
20.469000	1.522150E-8	-1.502250E-8	-5.000000E-13	1.937535E-9	22.332000	1.684800E-8	-1.686200E-8	5.000000E-13	1.855975E-9	24.203000	2.139900E-8	-2.107100E-8	0.000000	1.902345E-9	26.056000	2.071600E-8	-2.056250E-8	1.000000E-12	1.940500E-9	27.920000	2.336050E-8	-2.332400E-8	5.000000E-13	1.849470E-9
29.825000	1.563250E-8	-1.552200E-8	0.000000	1.872705E-9	31.713000	1.703650E-8	-1.681250E-8	5.000000E-13	1.830335E-9	33.581000	2.140300E-8	-2.115200E-8	0.000000	1.827210E-9	35.435000	2.091700E-8	-2.082250E-8	5.000000E-13	1.840795E-9	37.305000	2.430950E-8	-2.422950E-8	1.000000E-12	1.863955E-9
39.249000	1.553150E-8	-1.551850E-8	0.000000	1.937355E-9	41.095000	1.740150E-8	-1.710450E-8	1.000000E-12	1.852020E-9	42.974000	2.163500E-8	-2.160200E-8	5.000000E-13	1.864560E-9	44.837000	2.119250E-8	-2.089500E-8	5.000000E-13	1.905530E-9	46.700000	2.379100E-8	-2.383550E-8	5.000000E-13	1.839770E-9
48.643000	1.595450E-8	-1.581450E-8	1.500000E-12	1.883425E-9	50.526000	1.745250E-8	-1.754750E-8	0.000000	1.962555E-9	52.409000	2.185900E-8	-2.176950E-8	-5.000000E-13	1.885805E-9	54.276000	2.122500E-8	-2.093250E-8	-5.000000E-13	1.887310E-9	56.141000	2.437950E-8	-2.406350E-8	0.000000	1.940810E-9
58.037000	1.558400E-8	-1.539750E-8	-5.000000E-13	1.966175E-9	59.905000	1.794100E-8	-1.772000E-8	-2.000000E-12	1.842480E-9	61.789000	2.216300E-8	-2.198950E-8	1.500000E-12	1.855185E-9	63.668000	2.112850E-8	-2.113400E-8	0.000000	1.905535E-9	65.518000	2.439300E-8	-2.425500E-8	5.000000E-13	1.847695E-9
67.438000	1.533950E-8	-1.494900E-8	1.000000E-12	2.598685E-9	69.305000	1.655250E-8	-1.648200E-8	5.000000E-13	2.030005E-9	71.165000	2.066950E-8	-2.032950E-8	5.000000E-13	2.115685E-9	73.039000	1.964650E-8	-1.952050E-8	0.000000	1.913715E-9	74.888000	2.315400E-8	-2.298650E-8	0.000000	1.957555E-9
76.785000	1.485700E-8	-1.482500E-8	0.000000	1.991550E-9	78.633000	1.702700E-8	-1.658100E-8	0.000000	1.906960E-9	80.482000	2.056850E-8	-2.023750E-8	5.000000E-13	2.200470E-9	82.345000	1.988400E-8	-1.966800E-8	-5.000000E-13	2.071400E-9	84.208000	2.335300E-8	-2.317750E-8	1.500000E-12	1.923640E-9
86.127000	1.458650E-8	-1.429350E-8	0.000000	1.985495E-9	87.984000	1.692350E-8	-1.648600E-8	0.000000	1.913070E-9	89.839000	2.109200E-8	-2.079050E-8	5.000000E-13	1.900125E-9	91.703000	1.985650E-8	-1.967200E-8	-5.000000E-13	1.849780E-9	93.569000	2.319850E-8	-2.261150E-8	-5.000000E-13	1.874830E-9
95.485000	1.472000E-8	-1.485000E-8	-5.000000E-13	2.089160E-9	97.350000	1.713200E-8	-1.698200E-8	5.000000E-13	2.133615E-9	99.228000	2.099850E-8	-2.081700E-8	-5.000000E-13	2.036600E-9	101.095000	2.024750E-8	-1.997250E-8	-5.000000E-13	2.110060E-9	102.975000	2.293600E-8	-2.273550E-8	-1.500000E-12	2.062030E-9
104.901000	1.485950E-8	-1.466550E-8	-5.000000E-13	1.917625E-9	106.764000	1.714950E-8	-1.704800E-8	-5.000000E-13	1.933920E-9	108.632000	2.107350E-8	-2.106100E-8	0.000000	6.928100E-10	110.478000	2.001000E-8	-1.966300E-8	5.000000E-13	2.114330E-9	112.356000	2.290100E-8	-2.277650E-8	-5.000000E-13	2.031900E-9
114.272000	1.461450E-8	-1.462350E-8	5.000000E-13	2.037350E-9	116.144000	1.749700E-8	-1.727550E-8	5.000000E-13	2.254675E-9	118.006000	2.117550E-8	-2.110450E-8	5.000000E-13	2.062770E-9	119.875000	2.037350E-8	-2.019250E-8	5.000000E-13	1.961250E-9	121.743000	2.361700E-8	-2.364200E-8	-5.000000E-13	2.096720E-9
123.660000	1.519350E-8	-1.514800E-8	1.000000E-12	2.178940E-9	125.538000	1.793550E-8	-1.745700E-8	-5.000000E-13	2.129055E-9	127.398000	2.090850E-8	-2.073500E-8	1.000000E-12	1.887625E-9	129.274000	2.017700E-8	-2.006150E-8	0.000000	2.089870E-9	131.149000	2.342550E-8	-2.314450E-8	-5.000000E-13	2.018775E-9
133.065000	1.472700E-8	-1.444350E-8	1.000000E-12	2.069295E-9	134.934000	1.812250E-8	-1.777150E-8	5.000000E-13	2.058515E-9	136.795000	2.115400E-8	-2.097450E-8	-5.000000E-13	1.433480E-9	138.673000	2.194650E-8	-2.184700E-8	0.000000	1.788070E-9	140.557000	2.506050E-8	-2.467300E-8	1.500000E-12	1.923930E-9
142.488000	1.632800E-8	-1.639900E-8	1.500000E-12	1.941450E-9	144.366000	1.867000E-8	-1.848400E-8	5.000000E-13	1.927080E-9	146.233000	2.279150E-8	-2.266200E-8	0.000000	1.968925E-9	148.080000	2.190800E-8	-2.158650E-8	5.000000E-13	1.880200E-9	149.966000	2.484550E-8	-2.474600E-8	0.000000	1.905835E-9
151.845000	1.635000E-8	-1.620050E-8	0.000000	1.993385E-9	153.694000	1.885800E-8	-1.851600E-8	-5.000000E-13	1.897070E-9	155.558000	2.297500E-8	-2.282200E-8	5.000000E-13	1.891165E-9	157.428000	2.200600E-8	-2.183650E-8	0.000000	1.902835E-9	159.275000	2.538200E-8	-2.507900E-8	0.000000	1.902665E-9
